,SURFRAD_GHI,AURA_NO2,AURA_O3,MERRA2_ALBEDO,MERRA2_CLDTOT,MERRA2_TAUTOT,MERRA2_TQV,MERRA2_TO3,MERRA2_PS,MERRA2_TOTSCATAU,MERRA2_TOTEXTTAU,MERRA2_TOTANGSTR,GOES_TPW,GOES_LSA,GOES_AOD
2023-07-08 10:20:00,343.8023215259724,0.1457685464863475,344.9211786627101,0.1833720331390698,0.9422200520833334,14.090494791666666,34.15383211771647,317.13623046875,98714.76171875,0.1726447393496831,0.1839734762907028,1.426134427388509,35.75111116026758,0.2296316560215825,2.683406619740209
2023-07-08 10:25:00,335.6811607629862,0.1462803855183287,345.01513219939017,0.1828990193704764,0.9415690104166666,13.920247395833334,33.9741481145223,317.33770751953125,98715.951171875,0.1711240435640017,0.1824118942022323,1.429127315680186,35.352024920675426,0.2286986420239516,2.445689772608997
2023-07-08 10:30:00,326.5505803814931,0.1467922245503099,345.1090857360703,0.1824260056018829,0.94091796875,13.75,33.794464111328125,317.5391845703125,98717.140625,0.1696033477783203,0.1808503121137619,1.4321202039718628,36.52074799890731,0.2277656325092499,2.927059168230321
2023-07-08 10:35:00,319.02529019074655,0.1473040635822911,345.20303927275046,0.1821462872127691,0.9402872721354166,13.886067708333334,33.77231025695801,317.5637664794922,98719.27408854169,0.1710275808970133,0.182288443048795,1.4283182819684346,36.55994331906715,0.226876959952444,2.501391559621135
2023-07-08 10:40:00,325.7426450953733,0.1478159026142723,345.2969928094305,0.1818665688236554,0.9396565755208334,14.022135416666666,33.75015640258789,317.5883483886719,98721.40755208331,0.1724518140157064,0.1837265739838282,1.4245163599650066,36.285352242454906,0.2260695385346053,2.518127968241993
2023-07-08 10:45:00,275.91132254768667,0.1483277416462535,345.3909463461107,0.1815868504345417,0.93902587890625,14.158203125,33.72800254821777,317.6129302978516,98723.541015625,0.1738760471343994,0.1851647049188614,1.4207144379615784,36.49279864634026,0.2252365307126755,2.2541535779752264
2023-07-08 10:50:00,291.8956612738433,0.1488395806782346,345.48489988279084,0.1813071320454279,0.9383951822916666,14.294270833333334,33.705848693847656,317.63751220703125,98725.67447916669,0.1753002802530924,0.1866028358538945,1.4169125159581502,35.731297653553966,0.2245035207718952,2.3384432078178343
2023-07-08 10:55:00,284.43783063692166,0.1493514197102158,345.57885341947093,0.1810274136563142,0.9377644856770834,14.430338541666666,33.68369483947754,317.66209411621094,98727.80794270831,0.1767245133717855,0.1880409667889277,1.4131105939547222,35.207999896880125,0.223814847117704,2.812020453449434
2023-07-08 11:00:00,245.23891531846084,0.149863258742197,345.6728069561511,0.1807476952672004,0.9371337890625,14.56640625,33.66154098510742,317.6866760253906,98729.94140625,0.1781487464904785,0.1894790977239608,1.409308671951294,34.72767895380862,0.2231261779464419,2.3322834926245024
2023-07-08 11:05:00,246.3194576592304,0.1503750977741782,345.7667604928312,0.1804679768780867,0.9365030924479166,14.702473958333334,33.639387130737305,317.7112579345703,98732.07486979169,0.1795729796091715,0.190917228658994,1.4055067499478655,33.36579820789265,0.2225074151123252,1.1275692954542127
2023-07-08 11:10:00,283.9397288296152,0.1508869368061594,345.8607140295113,0.180188258488973,0.9358723958333334,14.838541666666666,33.61723327636719,317.73583984375,98734.20833333331,0.1809972127278646,0.1923553595940272,1.4017048279444375,31.388370563094533,0.2219187431509059,2.402413995381591
2023-07-08 11:15:00,355.4198644148076,0.1513987758381406,345.95466756619146,0.1799085400998592,0.93524169921875,14.974609375,33.59507942199707,317.7604217529297,98736.341796875,0.1824214458465576,0.1937934905290603,1.3979029059410095,31.391630419963057,0.2213601567981879,2.206330264083553
2023-07-08 11:20:00,400.46993220740376,0.1519106148701218,346.0486211028716,0.1796288217107454,0.9346110026041666,15.110677083333334,33.57292556762695,317.7850036621094,98738.47526041669,0.1838456789652506,0.1952316214640935,1.3941009839375813,31.884259502649705,0.220841401592146,3.0328833199648035
2023-07-08 11:25:00,419.37496610370187,0.152422453902103,346.1425746395517,0.1793491033216317,0.9339803059895834,15.246744791666666,33.55077171325684,317.80958557128906,98740.60872395831,0.1852699120839437,0.1966697523991266,1.390299061934153,31.249441731975526,0.2203970623460916,0.5542735844776345
